User_ID,Country,Continent,Age,Gender,Daily_Screen_Time_Hours,Social_Media_Usage_Hours,App_Notifications_Received,Screen_Unlocks_Per_Day,Sleep_Hours,Sleep_Quality,Stress_Level,Productivity_Score,IFA,Frecuencia_Desbloqueo
U00001,Japan,Asia,62,Other,7.0,1.1,462,187,6.8,Good,6,59,36.655093739809644,Siempre
U00007,Germany,Europe,15,Male,6.7,2.6,88,115,9.3,Average,4,62,31.84905428041264,Frecuentemente
U00014,Pakistan,Asia,56,Female,4.6,0.5,102,200,7.3,Poor,5,56,24.395202577071746,Siempre
U00018,China,Asia,16,Other,6.7,1.9,431,128,7.8,Poor,7,56,32.5607431092232,Frecuentemente
U00027,Pakistan,Asia,34,Male,8.6,2.1,95,131,7.0,Good,6,28,41.99209653424278,Frecuentemente
U00028,Brazil,South America,40,Male,4.0,3.7,399,108,5.2,Average,7,75,18.765391528916574,Frecuentemente
U00052,Brazil,South America,17,Male,2.4,1.1,89,36,9.2,Good,6,80,8.666202990346138,Rara vez
U00055,USA,North America,45,Female,5.5,2.5,224,188,4.7,Poor,4,53,28.829608582828033,Siempre
U00064,UK,Europe,44,Female,4.8,1.8,404,35,7.2,Good,10,60,17.200890904589325,Rara vez
U00066,Australia,Oceania,60,Male,7.1,1.5,282,91,8.6,Good,6,47,32.10469889704819,Frecuentemente
U00069,Australia,Oceania,63,Female,5.0,4.0,318,181,9.1,Poor,9,56,26.020033435383976,Siempre
U00084,China,Asia,39,Other,8.8,3.3,195,144,8.4,Poor,5,23,43.795256933301054,Siempre
U00090,Japan,Asia,64,Other,5.1,1.4,295,63,7.5,Poor,4,63,21.210303725134324,Rara vez
U00105,Australia,Oceania,30,Other,2.0,4.5,457,189,7.6,Average,7,71,10.494048144320972,Siempre
U00107,Japan,Asia,21,Other,10.6,1.0,264,140,7.6,Average,5,12,52.45685483800858,Frecuentemente
U00115,Pakistan,Asia,32,Other,8.9,3.3,324,140,6.7,Good,3,39,44.0439630243657,Frecuentemente
U00117,Brazil,South America,48,Female,8.4,1.2,474,37,6.0,Good,2,38,30.55572374170164,Rara vez
U00123,Australia,Oceania,51,Other,9.3,1.9,422,94,7.6,Poor,2,30,42.35105509188503,Frecuentemente
U00128,India,Asia,41,Other,6.6,4.0,388,78,6.8,Good,4,31,28.838355826282342,Frecuentemente
U00133,Canada,North America,16,Other,6.4,2.3,122,114,6.4,Average,3,49,30.367565621524804,Frecuentemente
U00135,Brazil,South America,33,Female,5.4,2.7,322,173,4.7,Average,6,56,27.85889861575846,Siempre
U00138,Germany,Europe,34,Female,5.6,3.4,110,32,8.5,Good,7,81,19.580442344212287,Rara vez
U00140,Germany,Europe,55,Male,9.2,1.9,435,111,6.5,Average,7,41,43.41018961591486,Frecuentemente
U00143,India,Asia,25,Female,4.9,1.6,499,59,6.9,Poor,5,62,20.06228835488829,Rara vez
U00145,Germany,Europe,50,Female,5.8,0.8,242,171,6.7,Poor,5,65,29.855467965518024,Siempre
U00149,Brazil,South America,58,Other,6.6,4.2,390,104,9.0,Good,1,48,30.71613831103965,Frecuentemente
U00158,India,Asia,20,Male,8.3,2.0,116,123,7.6,Poor,4,38,40.00833699452181,Frecuentemente
U00163,Australia,Oceania,57,Male,5.6,3.9,364,105,6.8,Average,4,66,26.115258927027572,Frecuentemente
U00176,UK,Europe,36,Other,6.9,1.0,169,43,7.0,Poor,6,50,26.110908474036002,Rara vez
U00180,Australia,Oceania,21,Female,10.0,3.7,312,168,7.0,Good,4,16,51.29898714923073,Siempre
U00181,Japan,Asia,29,Other,2.8,0.8,270,185,7.7,Good,9,63,14.632090686396964,Siempre
U00182,UK,Europe,48,Female,4.7,1.5,485,165,7.7,Average,8,60,24.026342605275754,Siempre
U00188,Canada,North America,58,Female,4.6,1.4,304,197,7.1,Average,2,52,24.32602834119486,Siempre
U00192,Japan,Asia,57,Female,6.9,4.3,139,84,8.2,Average,5,61,30.654293669783186,Frecuentemente
U00197,India,Asia,38,Other,5.5,2.2,482,187,5.6,Average,6,66,28.800430795564722,Siempre
U00218,Canada,North America,22,Female,7.0,3.3,456,77,8.5,Poor,3,52,30.496961786827143,Frecuentemente
U00221,UK,Europe,35,Female,4.0,3.6,72,179,6.6,Average,4,66,20.77182740356084,Siempre
U00223,Germany,Europe,60,Other,7.3,2.3,439,40,8.3,Good,3,42,27.109076086941446,Rara vez
U00224,Pakistan,Asia,60,Other,4.5,1.2,365,53,6.3,Poor,7,80,17.950428209539236,Rara vez
U00226,Japan,Asia,48,Other,5.9,4.0,257,65,6.3,Average,5,45,24.71896297795591,Rara vez
U00230,UK,Europe,52,Female,7.1,2.8,146,120,4.3,Average,4,46,34.050112873736865,Frecuentemente
U00238,Brazil,South America,44,Male,5.9,2.9,337,127,6.4,Poor,3,56,28.626978557125742,Frecuentemente
